Time stamp;Contador;RSSI_DL;PSR;Status LED NodeMCU; Status LED Esp
Thu Dec  1 10:22:45 2022 ; 1692 ;; 91.73 ;;
Thu Dec  1 10:22:46 2022 ; 1693 ;; 91.67 ;;
Thu Dec  1 10:22:47 2022 ; 1694 ;; 91.62 ;;
Thu Dec  1 10:22:48 2022 ; 1695 ;; 91.56 ;;
Thu Dec  1 10:22:49 2022 ; 1696 ;; 91.51 ;;
Thu Dec  1 10:22:50 2022 ; 1697 ;; 91.46 ;;
Thu Dec  1 10:22:51 2022 ; 1698 ;; 91.4 ;;
Thu Dec  1 10:22:52 2022 ; 1699 ;; 91.35 ;;
Thu Dec  1 10:22:53 2022 ; 1700 ;; 91.29 ;;
Thu Dec  1 10:22:55 2022 ; 1701 ;; 91.24 ;;
Thu Dec  1 10:22:56 2022 ; 1702 ;; 91.19 ;;
Thu Dec  1 10:22:57 2022 ; 1703 ;; 91.13 ;;
Thu Dec  1 10:22:58 2022 ; 1704 ;; 91.08 ;;
Thu Dec  1 10:22:59 2022 ; 1705 ;; 91.03 ;;
Thu Dec  1 10:23:00 2022 ; 1706 ;; 90.97 ;;
Thu Dec  1 10:23:01 2022 ; 1707 ;; 90.92 ;;
Thu Dec  1 10:23:02 2022 ; 1708 ;; 90.87 ;;
Thu Dec  1 10:23:03 2022 ; 1709 ;; 90.81 ;;
Thu Dec  1 10:23:04 2022 ; 1710 ;; 90.76 ;;
Thu Dec  1 10:23:05 2022 ; 1711 ;; 90.71 ;;
Thu Dec  1 10:23:06 2022 ; 1712 ;; 90.65 ;;
Thu Dec  1 10:23:07 2022 ; 1713 ;; 90.6 ;;
Thu Dec  1 10:23:08 2022 ; 1714 ;; 90.55 ;;
Thu Dec  1 10:23:09 2022 ; 1715 ;; 90.5 ;;
Thu Dec  1 10:23:10 2022 ; 1716 ;; 90.44 ;;
Thu Dec  1 10:23:12 2022 ; 1717 ;; 90.39 ;;
Thu Dec  1 10:23:13 2022 ; 1718 ;; 90.34 ;;
Thu Dec  1 10:23:14 2022 ; 1719 ;; 90.29 ;;
Thu Dec  1 10:23:15 2022 ; 1720 ;; 90.23 ;;
Thu Dec  1 10:23:16 2022 ; 1721 ;; 90.18 ;;
Thu Dec  1 10:23:17 2022 ; 1722 ;; 90.13 ;;
Thu Dec  1 10:23:18 2022 ; 1723 ;; 90.08 ;;
Thu Dec  1 10:23:19 2022 ; 1724 ;; 90.02 ;;
Thu Dec  1 10:23:20 2022 ; 1725 ;; 89.97 ;;
Thu Dec  1 10:23:21 2022 ; 1726 ;; 89.92 ;;
Thu Dec  1 10:23:22 2022 ; 1727 ;; 89.87 ;;
Thu Dec  1 10:23:23 2022 ; 1728 ;; 89.81 ;;
Thu Dec  1 10:23:24 2022 ; 1729 ;; 89.76 ;;
Thu Dec  1 10:23:26 2022 ; 1730 ;; 89.71 ;;
Thu Dec  1 10:23:27 2022 ; 1731 ;; 89.66 ;;
Thu Dec  1 10:23:28 2022 ; 1732 ;; 89.61 ;;
Thu Dec  1 10:23:29 2022 ; 1733 ;; 89.56 ;;
Thu Dec  1 10:23:30 2022 ; 1734 ;; 89.5 ;;
Thu Dec  1 10:23:31 2022 ; 1735 ;; 89.45 ;;
Thu Dec  1 10:23:32 2022 ; 1736 ;; 89.4 ;;
Thu Dec  1 10:23:33 2022 ; 1737 ;; 89.35 ;;
Thu Dec  1 10:23:34 2022 ; 1738 ;; 89.3 ;;
Thu Dec  1 10:23:35 2022 ; 1739 ;; 89.25 ;;
Thu Dec  1 10:23:36 2022 ; 1740 ;; 89.2 ;;
Thu Dec  1 10:23:37 2022 ; 1741 ;; 89.14 ;;
Thu Dec  1 10:23:38 2022 ; 1742 ;; 89.09 ;;
Thu Dec  1 10:23:40 2022 ; 1743 ;; 89.04 ;;
Thu Dec  1 10:23:41 2022 ; 1744 ;; 88.99 ;;
Thu Dec  1 10:23:42 2022 ; 1745 ;; 88.94 ;;
Thu Dec  1 10:23:43 2022 ; 1746 ;; 88.89 ;;
Thu Dec  1 10:23:44 2022 ; 1747 ;; 88.84 ;;
Thu Dec  1 10:23:45 2022 ; 1748 ;; 88.79 ;;
Thu Dec  1 10:23:46 2022 ; 1749 ;; 88.74 ;;
Thu Dec  1 10:23:47 2022 ; 1750 ;; 88.69 ;;
Thu Dec  1 10:23:48 2022 ; 1751 ;; 88.64 ;;
Thu Dec  1 10:23:49 2022 ; 1752 ;; 88.58 ;;
Thu Dec  1 10:23:50 2022 ; 1753 ;; 88.53 ;;
Thu Dec  1 10:23:51 2022 ; 1754 ;; 88.48 ;;
Thu Dec  1 10:23:52 2022 ; 1755 ;; 88.43 ;;
Thu Dec  1 10:23:53 2022 ; 1756 ;; 88.38 ;;
Thu Dec  1 10:23:55 2022 ; 1757 ;; 88.33 ;;
Thu Dec  1 10:23:56 2022 ; 1758 ;; 88.28 ;;
Thu Dec  1 10:23:57 2022 ; 1759 ;; 88.23 ;;
Thu Dec  1 10:23:58 2022 ; 1760 ;; 88.18 ;;
Thu Dec  1 10:23:59 2022 ; 1761 ;; 88.13 ;;
Thu Dec  1 10:24:00 2022 ; 1762 ;; 88.08 ;;
Thu Dec  1 10:24:01 2022 ; 1763 ;; 88.03 ;;
Thu Dec  1 10:24:02 2022 ; 1764 ;; 87.98 ;;
Thu Dec  1 10:24:03 2022 ; 1765 ;; 87.93 ;;
Thu Dec  1 10:24:04 2022 ; 1766 ;; 87.88 ;;
Thu Dec  1 10:24:05 2022 ; 1767 ;; 87.83 ;;
Thu Dec  1 10:24:06 2022 ; 1768 ;; 87.78 ;;
Thu Dec  1 10:24:07 2022 ; 1769 ;; 87.73 ;;
Thu Dec  1 10:24:09 2022 ; 1770 ;; 87.68 ;;
Thu Dec  1 10:24:10 2022 ; 1771 ;; 87.63 ;;
Thu Dec  1 10:24:11 2022 ; 1772 ;; 87.58 ;;
